0 84 87 1 1
0 320 328 1 1
0 610 611 1 1
0 1203 1204 1 1
0 1874 1875 1 1
0 2335 2336 1 1
0 3262 3263 1 1
0 3463 3464 1 1
0 5081 5082 1 1
0 6200 6200 1 1
0 6596 6597 1 1
0 6635 6636 1 1
0 6680 6684 1 0
0 6710 6714 1 1
1 761 762 1 0
1 1064 1065 1 0
1 1788 1789 1 0
1 2622 2623 1 0
1 2809 2809 1 0
1 3079 3080 1 0
1 3967 3968 1 0
1 5008 5009 1 0
1 5174 5175 1 0
1 6127 6128 1 0
1 7372 7373 1 0
1 7604 7605 1 0
1 7709 7710 1 0
1 8842 8843 1 0
1 9373 9374 1 0
1 12457 12458 1 0
1 13029 13030 1 0
1 13951 13952 1 0
2 358 363 1 1
2 954 955 1 1
2 3385 3386 1 1
2 3403 3406 1 1
2 3659 3659 1 1
2 4096 4097 1 1
2 4567 4568 1 1
2 4923 4924 1 1
2 5993 5994 1 1
2 10268 10269 1 1
2 10337 10343 1 1
2 10355 10356 1 1
2 10601 10602 1 1
2 10791 10792 1 1
2 13118 13119 1 1
2 13465 13466 1 1
2 14928 14929 1 1
